A	განუსაზღვრელი არტიკლი,
A1	პირველკლასელი
ABC	ანბანი, ძირითადი
aback	უეცრად თავს წადგომა, მოულოდნელად მისწრება
abandon	მიტოვება
abandonment	მიტოვება, სითამამე
abase	დამცირება, სახელის გატეხა, ჩამოქვეითება
abasement	დამცირება, სახელის გატეხა
abash	დარცხვენა, შერცხვენა, შეკრთომა
abate	დაკლება (ფასის, გადასახადის), შესუსტება; გაუქმება; გაბათილება
abatement	დაკლება, ფასდაკლება; შემცირება, სესუსტება, შეწყვეტა
abbey	სააბატო; მონასტერი, სავანე
abbot	აბატი (კათოლიკების მონასტერის წინამძღვარი)
abbreviate	შემცირება, შემოკლება, შეკვეცა
abbreviation	შემცირება, შეკვეცა
abdicate	გადადგომა (ტახტიდან), უარის თქმა
abdication	გადადგომა (ტახტიდან), უარის თქმა
abdomen	მუცელი, მუცლის ღრუ
abdominal	მუცლის
abduct	მოტაცება
aberrant	ჭეშმარიტი გზიდან აცდენილი, დაბნეული
abhor	შეჯავრება, შეძაგება, შეძულება
abide	abode - იშვიათად; abided- ცხოვრებამ; to abide by - ერთგულად დარჩენა, დაცვა, შესრულება; ატანა (კითხვითი და უარყოფითი წინად.)
ability	სიმარჯვე, ნიჭი, უნარიანობა; ვალის გადახდის უნარიანობა
abject	საბრალო საწყალი; დამცირებული
abjuration	უარის თქმა, გადადგომა
abjure	გადადგომა, უარის თქმა
ablaze	ცეცხლში; მოკაშკაშე, მოელვარე
able	უნარიანი, შემძლე; to able to - შეძლება, უნარის ქონა
able-bodied	ჯანმრთელი, მაგარი აგებულების, ვარგისი (სამხედრო სამსახურისათვის)
abnegation	გადადგომა, უარყოფა
abnormal	არანორმალური
aboard	გემზე, ვაგონზე
abode	საცხვრებელი ბინა, სადგომი, ადგილსამყოფი
abolish	გაუქმება
abolition	გაუქმება
abominable	საძაგელი, საშინელი, საძულველი
aboriginal	ადგილობრივი მცხოვრები, მკვიდრი
abound	უხვად ქონა, სავსედ ყოფნა
about	ახლოს, დაახლოვებით; ირგვლივ, გარშემო; შესახებ; I am about to go - მე წასვლას ვაპირებ
above	ზემოთ; მეტი, წინათ, -მდე; above all - უწინარეს ყოვლისა, უმტავრესად
Abraham	აბრაამი
abridge	შემოკლება; შეზღუდვა
abroad	საზრვარგარეთ, უცხოეთში
abrogate	გაუქმება (კანონის)
absence	არ ყოფნა, გამოუცხადებლობა; დაბნეულობა
absent	არ მყოფი, არ დამსწრე; დაბნეული
absent-minded	გულმავიწყი, დაბნეული
absolute	უთუოდ, შეუზღუდავი, სუფთა, წმინდა
absorb	შეწოვა, შესრუტვა, შთანთქმა
abstain	თავის შეკავება
abstract	აბსტრაკტული, განყენებული
absurd	აბსურდული, უაზრო
abundance	სიუხვე, ბარაქი, სიმდიდრე
abundant	უხვი, ბარაქიანი, მდიდარი
abuse	ბოროტად გამოყენება; შეურაცყოფის მიყენება, ბოროტად გამოყენება; შეურაცყოფა
abyss	უფსკრული
academic,	academical აკადემიური
academician	აკადემიკოსი
academy	აკადემია
accelerate	აჩქარება, დაჩქარება
accent	მახვილი; აქცენტი, გამოთქმა; მახვილის დასმა
accept	მიღება, დაშვება, დათანხმება
accessible	მისაწვდომი
accessories	მოწყობილობა
accessory	დამატებითი, დამხმარე, მეორეხარისხოვანი
accidence	მორფოლოგია
accident	შემთხვევა, უბედური შემთხვევა
accidental	შემთხვევითი
acclaim	შეძახებით მისალმება, საქვეყნოდ გამოცხადება
acclamations	ოვაცია
accommodate	შეგუება, შეწყობა; თავსესაფარის მიცემა; მომსახურება
accompany	გაცილება; საკრავზე ხმის შეწყობა, აკომპანირება
accomplice	მონაწილე, თანამონაწილე (დანაშაულის)
accomplish	დამთავრება, შესრულება; მიღწევა
accord	თანხმობა; შეთანხმება
accordance	თანხმობა; in accordance with - თანახმად, შესაბამისად
according	to         თანახმად
accordingly	შესაფერად, შესაბამისად; ამგვარად, ამიტომ
accost	მიმართვა (ვინმეს)
account	ანგარიში, მოხსენება; account for - ახსნა; on account of - გამო, შედეგად; on no
account	of - არავითარ შემთხვევაში
accredit	სრული უფლებით აღჭურვა, აკრედიტება
accretion	ნამატი
accrue	გამომდინარეობა, წარმოშობა; დაროვება, გადიდება
accumulate	დაგროვება, მოგროვება
accumulation	დაგროვება, მოგროვება, აკუმულაცია
accuracy	სიზუსტე, სისწორე
accurate	ზუსტი, სწორი
accusation	ბრალდება
accusative	ბრალდებითი ბრუნვა
accuse	ბრალის დადება, დაბრალება
accustom	მიჩვევა, შეჩვევა; I am accustomed - მე მიჩვეული ვარ
ace	პირველხარისხოვანი მფრინავი, გამოჩენილი მფრინავი
ache	ტკივილი; my head (tooth) aches - თავი მტკივა
achieve	მიღწევა, შესრულება
achievement	მიღწევა, შესრულება
acid	მჟავა, მჟავა, სიმჟავე
acknowledge	ცნობა, დადასტურება
acknowledgement	ცნობა; დადასტურება; მადლობა
acorn	რკო
acquaint	გაცნობა
acquaintance	ნაცნობობა, ნაცნობი
acquire	შეძენა; მიღწევა; დაუფლება
acquirements	ცოდნა, ჩვევები
across	-თ, -ით; გამო, გზით; გარდიგარდმო, განივ
act	მოქმედება, მოქცევა; კანონი; დოკუმენტი; მოქმედება, მოქცევა; თამაში (სცენაზე)
action	მოქმედება, მოღვაწეობა; ქცევა; საქმე
active	აქტიური, ენერგიული
activity	მოქმედება, მოღვაწეობა, აქტიურობა
actor	მსახიობი
actress	მსახიობი ქალი
actual	აქტუალური, ნამდვილი
actuate	მოძრაობაში მოყვანა
adapt	შეგუება, ადაპტირება; დამუშავება, გადაკეთება
add	დამატება, მიმატება
addendum	დამატება (წიგნისა)
addition	დამატება, მიმატება; in addition to - დამატებით, ამის გარდა
additional	დამატებითი
address	მისამართი; მიმართვა;
adhere	ერთგულად დარჩენა (პრინციპისადმი)
adherence	მომხრეობა, მიმდევრობა, ერთგულება
adherent	მომხრე, მიმდევარი
adieu	მშვიდობით
adjacent	მომიჯნავე, მოსაზღვრე
adjective	ზედსართავი სახელი
adjoin	მიმხრობა, მიკედლება
adjourn	ვადის გაგრძელება
adjudge	მისჯა, სასჯელის გამოტანა
adjunct	თანაშემწე; დამატება
adjust	წესრიგში მოყვანა; შეგუება
administer	მართვა
administration	ადმინისტრაცია
administrator	ადმინისტრატორი
admirable	საუკეთესო, მშვენიერი, წარმტაცი
Admiralty	საზღვაო სამინისტრო; First Lord of the Admirality - საზღვაო მინისტრი (ინგლისში)
admiration	აღტაცება
admire	აღტაცება, მოხიბვლა
admirer	თაყვანისმცემელი
admissible	დასაშვები, მისაღები
admission	დათმობა; ნებართვა
admit	შეშვება, ნებართვის მიცემა
admittance	შესვლის ნებართვა; შესავალი
admonish	გაფრთხილება; დარწმუნება, დაჯერება
ado	ხმაურობა; სიძნელე
adolescence	სიყმაწვილე, სიჭაბუკე, ახალგაზრდობა
adolescent	ახალგაზრდა ჭაბუკი
adopt	შვილად აყვანა; ათვისება
adore	გაღმერთება, თაყვანისცემა
adorn	მორთვა, შემკობა
adult	მოზრდილი
advance	წინსვლა; დაწინაურება, წარმატება
advantage	უპირატესობა
adventure	თავგადასავალი, რისკება, გაბედვა; to adventure one's life -სიცოცხლის საფრთხეში ჩაგდება
adventurer	თავგადასავალის მოყვარული; ავანტიურისტი
adventurous	გაბედული, მამაცი
adverb	ზმნიზედა, ზმნისართი
adversary	მოწინააღმდეგე, მეტოქე
adverse	მტრული; საწინააღმდეგო; არახელსაყრელი
advertise	განცხადება, განცხადების მოტავსება; რეკლამის გაკეთება
advertisement	განცხადება
advice	რჩევა, დარიგება; ცნობა
advise	რცევა-დარიგების მიცემა; შეტყობინება
advisory	სათათბირო
advocate	დამცველი, ადვოკატი; დაცვა
aeroplane	თვითმფრინავი
afar	შორს
affable	გულღია, გულითადი
affair	საქმე
affect	გავლენის მოხდენა; ვნების მიყენება (ჯამრთელობისათვის)
affection	გავლენა; სიყვარული, ერტგულება; ავადმყოფობა
affiliate	შვილად აყვანა, შვილება
affirm	მტკიცება, დამტკიცება
affirmative	მტკიცებითი
affix	მიმაგრება, მიმატება
afflict	დანაღვლიანება, გულის ტკენა, წყენინება
affluence	შენაკადი; სიუხვე, დოვლათი, ბარაქა
afford	შეძლება, თავის თავისათვის ნების მიცემა
afoot	ფეხით
afraid	შეშინებული; to be afraid of - შეშინება
afresh	კვლავ
Africa	აფრიკა
after	შემდეგ, მიხედვით; ამის შემდეგ; მას შემდეგ რაც; after all - ბოლოს და ბოლოს
afternoon	შუადღე
afterwards	შემდეგ. შემდეგში
again	კვლავ, ხელახლა
against	წინააღმდეგ; მიმართ; -ზე
age	წლოვანება, ასაკი; საუკუნე; ეპოქა
aged	ხანში შესული
agency	სააგენტო; მოქმედება
agenda	დღის წესრიგი
agent	აგენტი; ფაქტორი
aggravate	გაუარესება, გამწვავება
aggress	თავდასხმა
aggression	აგრესია, თავდასხმა
aggressive	აგრესიული
aggrieve	წყენინება, გულის ტკენა
agitate	აღელვება; აგიტაციის გაწევა
agitation	აღელვება; აგიტაცია; დისკუსია
agitator	აგიგატორი
ago	წინათ; long time ago - დიდი ხნის წინათ
agrarian	აგრარული
agree	შეთანხმება, დათანხმება; შეპირობება, პირობის დადება
agreeable	სასიამოვნო
agreement	თანხმობა; შეთანხმება; ხელშეკრულება
agricultural	მიწათმოქმედების, სასოფლო-სამეურნეო
agriculture	სოფლის მეურნეობა, მიწათმოქმედება
agriculturist	აგრონომი, სოფლის მეურნე
ahead	წინ; to get ahead of - გასწრება
aid	დახმარება, შველა
aim	მიზანი; განზრახვა; დამიზნება; სწრაფვა; შურება (მიეშურება)
air	ჰაერი, ნიავი; გარეგნობა; მელოდია; არია; საჰაერო, ჰაერის გაწმენდვა, გაშრობა (თეთრეულის)
aircraft	თვითმფრინავი, საჰაერო ფლოტი
airman	მფრინავი
airplain	თვითმფრინავი
akin	მონათესავე, ახლობელი
alarm	განგაში; არელვება; განგაშის ატეხვა
alarm	clock      მაღვიძარა საათი
alas	ვაი, აფსუს
albumen	ცილა (კვერცხის)
alder	მურყანი; მრთხმელა
ale	ლუდი
ale-house	ლუდხანა
